position	text_id	difference	html
1825 	19805 	15 	<span style="background-color: #ffff00">english</span> is spoken in <span style="background-color: #ffff00">great britain</span> and <span style="background-color: #ffff00">the united states</span> . <span style="background-color: #ffff00">a fortress of grey ice</span> is from <span style="background-color: #ffff00">the united states</span> where one of the ethnic groups are <span style="background-color: #ffff00">african americans</span> .
1604 	19584 	15 	<span style="background-color: #ffff00">bacon explosion</span> comes from <span style="background-color: #ffff00">the united states ,</span> where one of the leaders is <span style="background-color: #ffff00">paul ryan</span> . <span style="background-color: #ffff00">it</span> is also where <span style="background-color: #ffff00">asian americans</span> are one of the ethnic groups and <span style="background-color: #ffff00">washington , d.c.</span> is the capital .
1582 	19562 	15 	the main ingredients of <span style="background-color: #ffff00">arem-arem</span> are compressed rice cooked in banana leaf with vegetables or minced meat fillings . <span style="background-color: #ffff00">it</span> is served as <span style="background-color: #ffff00">a main course</span> and is found nationwide in indonesia and more specifically in java .
1543 	19523 	15 	<span style="background-color: #ffff00">san francisco</span> born <span style="background-color: #ffff00">architect julia morgan</span> designed many significant buildings including <span style="background-color: #ffff00">the asilomar conference grounds</span> , <span style="background-color: #ffff00">the los angeles herald examiner building</span> and <span style="background-color: #ffff00">the asilomar state beach</span> .
1500 	19480 	15 	first begun to be built in <span style="background-color: #ffff00">january 2014</span> , <span style="background-color: #ffff00">the postmodernist art</span>  <span style="background-color: #ffff00">250 delaware avenue</span> has 12 floors and a total floor area of 30843.8 square metres .
1736 	19716 	15 	<span style="background-color: #ffff00">agremiacao sportiva arapiraquense</span> play in <span style="background-color: #ffff00">the campeonato brasileiro serie c league</span> , as <span style="background-color: #ffff00">they</span> did in <span style="background-color: #ffff00">2015</span> , which is based in <span style="background-color: #ffff00">brazil</span> . the current champions of <span style="background-color: #ffff00">this league</span> are <span style="background-color: #ffff00">villa nova futebol clube</span> .
1615 	19595 	15 	the main ingredients of <span style="background-color: #ffff00">a bacon sandwich</span> , ( popular in <span style="background-color: #ffff00">the uk</span> ) , are bread , bacon and ketchup or brown sauce as a condiment . <span style="background-color: #ffff00">the bacon sandwich</span> has several alternative names including : bacon butty , bacon sarnie , rasher sandwich , bacon sanger , piece 'n bacon , bacon cob , bacon barm and bacon muffin .
1687 	19667 	15 	<span style="background-color: #ffff00">the 11th mississippi infantry monument</span> is located at <span style="background-color: #ffff00">gettysburg</span> , <span style="background-color: #ffff00">adams county , pennsylvania</span> , which has <span style="background-color: #ffff00">cumberland county , pennsylvania</span> to <span style="background-color: #ffff00">its</span> north and <span style="background-color: #ffff00">carrol county , maryland</span> to <span style="background-color: #ffff00">its</span> southeast .
1566 	19546 	15 	<span style="background-color: #ffff00">baymax</span> is a character in <span style="background-color: #ffff00">big hero 6</span> that stars <span style="background-color: #ffff00">damon wayans jr.</span> . <span style="background-color: #ffff00">the character</span> was created by <span style="background-color: #ffff00">the american</span> , <span style="background-color: #ffff00">duncan rouleau</span> .
1831 	19811 	15 	<span style="background-color: #ffff00">the</span> president of <span style="background-color: #ffff00">the united states</span> is <span style="background-color: #ffff00">barack obama</span> who is <span style="background-color: #ffff00">african american</span> , which makes up one of the many ethnic groups in <span style="background-color: #ffff00">the united states</span> . the national language spoken in <span style="background-color: #ffff00">the u.s.</span> is <span style="background-color: #ffff00">english</span> . <span style="background-color: #ffff00">the book a severed wasp</span> originated in the u.s.
