position	text_id	difference	html
2211 	20191 	15 	retired <span style="background-color: #ffff00">american</span> <span style="background-color: #ffff00">fighter pilot</span> <span style="background-color: #ffff00">buzz aldrin</span> , also known as edwin e. aldrin, jr. , was born in <span style="background-color: #ffff00">glen ridge , new jersey</span> . <span style="background-color: #ffff00">buzz aldrin</span> graduated from massachusetts institute of technology, sc.d. 1963 and was a crew member on <span style="background-color: #ffff00">apollo 11</span> .
2224 	20204 	15 	<span style="background-color: #ffff00">elliot see</span> was born on 1927-07-23 . <span style="background-color: #ffff00">he</span> was a student at <span style="background-color: #ffff00">university of texas at austin</span> , and later served as <span style="background-color: #ffff00">test pilot</span> . <span style="background-color: #ffff00">elliot see</span> died in <span style="background-color: #ffff00">st. louis</span> on 1966-02-28 .
2219 	20199 	15 	<span style="background-color: #ffff00">elliot see</span> was born on 1927-07-23 in <span style="background-color: #ffff00">dallas</span> . <span style="background-color: #ffff00">he</span> graduated from <span style="background-color: #ffff00">university of texas at austin</span> which is part of <span style="background-color: #ffff00">university of texas system</span> system . <span style="background-color: #ffff00">elliot see</span> worked as <span style="background-color: #ffff00">test pilot</span> before <span style="background-color: #ffff00">he</span> died in <span style="background-color: #ffff00">st. louis</span> .
2227 	20207 	15 	<span style="background-color: #ffff00">william anders</span> in <span style="background-color: #ffff00">united states</span> who was born in <span style="background-color: #ffff00">british hong kong</span> on 1933-10-17 . after graduating from afit, m.s. 1962 , <span style="background-color: #ffff00">william anders</span> worked as <span style="background-color: #ffff00">fighter pilot</span> until <span style="background-color: #ffff00">him</span> retired on 1969-09-01 .
2202 	20182 	15 	<span style="background-color: #ffff00">alan bean</span> was born in <span style="background-color: #ffff00">wheeler , texas</span> and attended ut austin, b.s. 1955 . prior to <span style="background-color: #ffff00">alan bean</span> retirement <span style="background-color: #ffff00">he</span> served as <span style="background-color: #ffff00">test pilot</span> and was selected by <span style="background-color: #ffff00">nasa</span> to serve as a crew member on <span style="background-color: #ffff00">apollo 12</span> alongside <span style="background-color: #ffff00">david scott</span> .
2199 	20179 	15 	<span style="background-color: #ffff00">alan bean</span> was born on 1932-03-15 in <span style="background-color: #ffff00">wheeler , texas</span> and is <span style="background-color: #ffff00">united states</span> . <span style="background-color: #ffff00">bean</span> worked as <span style="background-color: #ffff00">test pilot</span> and was a member of <span style="background-color: #ffff00">apollo 12</span> , which was run by <span style="background-color: #ffff00">nasa</span> . <span style="background-color: #ffff00">he</span> is retired .
2231 	20211 	15 	<span style="background-color: #ffff00">ataturk monument</span> is located in izmir , in the country of <span style="background-color: #ffff00">turkey</span> , whose leader is <span style="background-color: #ffff00">ahmet davutoglu</span> . <span style="background-color: #ffff00">atatürk monument</span> is made of bronze , was designed by <span style="background-color: #ffff00">pietro canonica</span> and was inaugurated on 1932-07-27 . <span style="background-color: #ffff00">its</span> capital city is <span style="background-color: #ffff00">ankara</span> and the currency is <span style="background-color: #ffff00">turkish lira</span> .
2213 	20193 	15 	<span style="background-color: #ffff00">buzz aldrin</span> was born in <span style="background-color: #ffff00">glen ridge , new jersey</span> , <span style="background-color: #ffff00">essex county , new jersey</span> . <span style="background-color: #ffff00">buzz aldrin</span> is <span style="background-color: #ffff00">united states</span> , who was a crew member of <span style="background-color: #ffff00">nasa</span> operated <span style="background-color: #ffff00">apollo 11</span> program . <span style="background-color: #ffff00">william anders</span> was a backup pilot on <span style="background-color: #ffff00">its</span> mission . <span style="background-color: #ffff00">united states</span> leader was <span style="background-color: #ffff00">joe biden</span> .
2201 	20181 	15 	<span style="background-color: #ffff00">alan bean</span> is <span style="background-color: #ffff00">american</span> national who was on the crew of <span style="background-color: #ffff00">apollo 12</span> . <span style="background-color: #ffff00">he was</span> birthplace is <span style="background-color: #ffff00">wheeler , texas</span> . <span style="background-color: #ffff00">he</span> was born on 1932-03-15 and <span style="background-color: #ffff00">he</span> is retired . <span style="background-color: #ffff00">bean</span> performed as <span style="background-color: #ffff00">test pilot</span> on <span style="background-color: #ffff00">its</span> mission that was operated by <span style="background-color: #ffff00">nasa</span> .
2223 	20203 	15 	<span style="background-color: #ffff00">test</span> <span style="background-color: #ffff00">elliot see</span> , born in <span style="background-color: #ffff00">dallas</span> on 1927-07-23 , graduated from <span style="background-color: #ffff00">university of texas at austin</span> . <span style="background-color: #ffff00">elliot see</span> died in <span style="background-color: #ffff00">st. louis</span> on 1966-02-28 .
2249 	20229 	15 	<span style="background-color: #ffff00">india</span> is known for the river <span style="background-color: #ffff00">ganges</span> and the largest city being <span style="background-color: #ffff00">mumbai</span> is also home to the state of <span style="background-color: #ffff00">kerala</span> which is positioned with <span style="background-color: #ffff00">mahe</span> to <span style="background-color: #ffff00">it</span> 's northwest . <span style="background-color: #ffff00">kerala</span> is also where <span style="background-color: #ffff00">awh engineering college</span> is located within the city of kuttikkattoor . <span style="background-color: #ffff00">it</span> currently has 250 members of staff .
2250 	20230 	15 	<span style="background-color: #ffff00">awh engineering college</span> in kuttikkattoor , <span style="background-color: #ffff00">kerala</span> , <span style="background-color: #ffff00">india</span> has an academic staff of 250 . <span style="background-color: #ffff00">kerala</span> has <span style="background-color: #ffff00">mahe</span> , indiato <span style="background-color: #ffff00">it</span> northwest . <span style="background-color: #ffff00">mumbai</span> is the largest city in <span style="background-color: #ffff00">it</span> . <span style="background-color: #ffff00">ganges</span> runs through <span style="background-color: #ffff00">india</span> .
2233 	20213 	15 	<span style="background-color: #ffff00">national assembly</span> is the official legislature of <span style="background-color: #ffff00">azerbaijan</span> which is lead by <span style="background-color: #ffff00">prime minister</span> . the capital city is <span style="background-color: #ffff00">baku</span> which is the location of <span style="background-color: #ffff00">red granite and white marble baku turkish martyrs memorial</span> designed in red granite and white marble by hüseyin bütüner and hilmi güner . <span style="background-color: #ffff00">red granite and white marble memorial</span> is dedicated to ottoman army soldiers killed in the battle of baku .
