position	text_id	difference	html
2165 	20145 	15 	<span style="background-color: #ffff00">the ataturk monument</span> was inaugurated on 1932-07-27 . <span style="background-color: #ffff00">it</span> is made of bronze and <span style="background-color: #ffff00">it</span> was designed by <span style="background-color: #ffff00">pietro canonica</span> . <span style="background-color: #ffff00">turkey 's</span> leader is called <span style="background-color: #ffff00">ahmet davutoglu</span> and <span style="background-color: #ffff00">its</span> capital is <span style="background-color: #ffff00">ankara</span> .
2174 	20154 	15 	<span style="background-color: #ffff00">the 14th new jersey volunteer infantry monument</span> was established on 1907-07-11 in the district of <span style="background-color: #ffff00">the monocacy national battlefield</span> , <span style="background-color: #ffff00">frederick county</span> , united states . <span style="background-color: #ffff00">the monument</span> belongs to the category of <span style="background-color: #ffff00">the historic districts of the us</span> and is owned by <span style="background-color: #ffff00">the national park service</span> .
2173 	20153 	15 	<span style="background-color: #ffff00">the 14th new jersey volunteer infantry monument</span> is located in <span style="background-color: #ffff00">the monocacy national battlefield</span> , in <span style="background-color: #ffff00">frederick county</span> , united states . <span style="background-color: #ffff00">the monument</span> was established on 1907-07-11 . <span style="background-color: #ffff00">the monument</span> is now categorized as <span style="background-color: #ffff00">a historic district</span> and is owned by <span style="background-color: #ffff00">the national park service</span> .
2180 	20160 	15 	established in <span style="background-color: #ffff00">2000</span> , <span style="background-color: #ffff00">the acharya institute of technology</span> is in <span style="background-color: #ffff00">bangalore</span> , <span style="background-color: #ffff00">its</span>  india . <span style="background-color: #ffff00">its</span> director is dr. g. p. prabhukumar and the campus is located in in soldevanahalli, acharya dr. sarvapalli radhakrishnan road, hessarghatta main road, bangalore – 560090. .
2168 	20148 	15 	<span style="background-color: #ffff00">the baku turkish martyrs ' memorial</span> is located in <span style="background-color: #ffff00">azerbaijan</span> and <span style="background-color: #ffff00">its</span> leader is <span style="background-color: #ffff00">the prime minister of azerbaijan</span> . <span style="background-color: #ffff00">the memorial</span> is dedicated to ottoman army soldiers killed in the battle of baku and <span style="background-color: #ffff00">its</span> designers are hüseyin bütüner and hilmi güner . the native name for <span style="background-color: #ffff00">the memorial</span> is türk şehitleri anıtı .
2191 	20171 	15 	<span style="background-color: #ffff00">romania</span> is governed by <span style="background-color: #ffff00">prime minister</span> who is <span style="background-color: #ffff00">klaus iohannis</span> . <span style="background-color: #ffff00">this country</span> is also known for <span style="background-color: #ffff00">the country</span> patron saint <span style="background-color: #ffff00">the apostle</span> , the ethnic group <span style="background-color: #ffff00">germans of romania</span> and the capital <span style="background-color: #ffff00">bucharest</span> . <span style="background-color: #ffff00">romania</span> is also home to <span style="background-color: #ffff00">the 1 decembrie 1918 university</span> .
2193 	20173 	15 	<span style="background-color: #ffff00">the school of business and social sciences at the aarhus university</span> is located in <span style="background-color: #ffff00">aarhus</span> , <span style="background-color: #ffff00">denmark</span> was established in <span style="background-color: #ffff00">1928</span> . <span style="background-color: #ffff00">its</span> academic staff numbers <span style="background-color: #ffff00">737</span> and <span style="background-color: #ffff00">it</span> is affiliated to <span style="background-color: #ffff00">the european university association</span> . <span style="background-color: #ffff00">denmark 's</span> leader is <span style="background-color: #ffff00">lars løkke rasmussen</span> .
2198 	20178 	15 	<span style="background-color: #ffff00">the school of business and social sciences at the aarhus university</span> is located in <span style="background-color: #ffff00">aarhus</span> , <span style="background-color: #ffff00">denmark</span> . <span style="background-color: #ffff00">the school</span> was established in <span style="background-color: #ffff00">1928</span> and <span style="background-color: #ffff00">its</span> affiliation is <span style="background-color: #ffff00">the european university association</span> . the number of students is 16000 and academic staff is 737 .
2167 	20147 	15 	<span style="background-color: #ffff00">the baku turkish martyrs ' memorial</span> was designed by hüseyin bütüner and hilmi güner and is located in <span style="background-color: #ffff00">azerbaijan</span> . <span style="background-color: #ffff00">the memorial</span> is dedicated to ottoman army soldiers killed in the battle of baku . the leader , <span style="background-color: #ffff00">prime minister of azerbaijan</span> is <span style="background-color: #ffff00">artur rasizade</span> .
2135 	20115 	15 	<span style="background-color: #ffff00">the united states</span>  <span style="background-color: #ffff00">bean</span> was a member of <span style="background-color: #ffff00">nasa 's</span>  <span style="background-color: #ffff00">'s apollo 12 mission</span> which was commanded by <span style="background-color: #ffff00">david scott</span> . alan bean , who was born in <span style="background-color: #ffff00">wheeler , texas</span> , is now retired .
2166 	20146 	15 	the capital city of <span style="background-color: #ffff00">turkey</span> is <span style="background-color: #ffff00">ankara</span> and <span style="background-color: #ffff00">its</span> leader is <span style="background-color: #ffff00">ahmet davutoglu</span> . <span style="background-color: #ffff00">the country</span> is the location of <span style="background-color: #ffff00">the country</span> where bronze  <span style="background-color: #ffff00">the ataturk monument</span> designed by <span style="background-color: #ffff00">pietro canonica</span> was inaugurated on 1932-07-27 .
2176 	20156 	15 	<span style="background-color: #ffff00">the accademia di architettura di mendrisio</span> located in <span style="background-color: #ffff00">ticino</span> , <span style="background-color: #ffff00">switzerland</span> was established in <span style="background-color: #ffff00">1996</span> . <span style="background-color: #ffff00">it</span> has <span style="background-color: #ffff00">600</span> students . <span style="background-color: #ffff00">switzerland 's</span> leader is <span style="background-color: #ffff00">federal chancellor</span>  <span style="background-color: #ffff00">federal chancellor johann schneider-ammann</span> .
2178 	20158 	15 	<span style="background-color: #ffff00">the accademia di architettura di mendrisio</span> in <span style="background-color: #ffff00">ticino</span> , <span style="background-color: #ffff00">switzerland</span> was established in <span style="background-color: #ffff00">1996</span> and currently has <span style="background-color: #ffff00">600</span> students . <span style="background-color: #ffff00">the federal chancellor</span> is named <span style="background-color: #ffff00">federal chancellor johann schneider-ammann</span> .
2142 	20122 	15 	<span style="background-color: #ffff00">alan shepard</span> was born on 1923-11-18 , in <span style="background-color: #ffff00">new hampshire</span> . <span style="background-color: #ffff00">he</span> served as a crew member on <span style="background-color: #ffff00">nasa 's</span>  <span style="background-color: #ffff00">apollo 14</span> mission before retiring on 1974-08-01 . <span style="background-color: #ffff00">alan shepard</span> passed away in <span style="background-color: #ffff00">california</span> .
